league;gender;external_id;stage;start_dt;home_player;away_player;home_score;away_score;line_score;h_odds;a_odds
Liga Pro (Rusia);1;g_25_OGdcVTUd;Finalizado;2021-01-28 00:00:00;Zabrodin A. (Rus);Karpovkin G. (Rus);3;2;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 6, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 5}];1.83;1.83
Liga Pro (Rusia);1;g_25_dlVj6ybD;Finalizado;2021-01-28 00:00:00;Nemashkalo V. (Rus);Rachkov V. (Rus);1;3;[{'home': 3, 'away': 11}, {'home': 10, 'away': 12}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];2.4;1.48
Liga Pro (Rusia);1;g_25_jVCwBaqr;Finalizado;2021-01-28 00:00:00;Kolesnikov D. (Rus);Khomutov S. (Rus);1;3;[{'home': 11, 'away': 5}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_27e1Ump3;Finalizado;2021-01-28 00:00:00;Andreev A. (Rus);Vologzhanin V. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 11, 'away': 2}];1.57;2.17
Liga Pro (Rusia);1;g_25_bg9ZUKzE;Finalizado;2021-01-28 00:00:00;Gerasimov A. (Rus);Mishakin V. (Rus);1;3;[{'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 15, 'away': 17}, {'home': 6, 'away': 11}];1.7;1.96
Liga Pro (Rusia);1;g_25_ULBsAJbl;Finalizado;2021-01-28 00:00:00;Poletaev I. (Rus);Nikiforov O. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 13}];1.5;2.3
Liga Pro (Rusia);1;g_25_pWp6T7a9;Finalizado;2021-01-28 00:00:00;Vologzhanin V. (Rus);Karpovkin G. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 11, 'away': 13}, {'home': 13, 'away': 11}];1.83;1.83
Liga Pro (Rusia);1;g_25_xp8wUvjK;Finalizado;2021-01-28 00:00:00;Mishakin V. (Rus);Rachkov V. (Rus);1;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 8, 'away': 11}];2.02;1.67
Liga Pro (Rusia);1;g_25_AXSv9wEf;Finalizado;2021-01-28 00:00:00;Nikiforov O. (Rus);Khomutov S. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}];1.83;1.83
Liga Pro (Rusia);1;g_25_bZlASREF;Finalizado;2021-01-28 00:00:00;Zabrodin A. (Rus);Andreev A. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 13, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_lORr8cT0;Finalizado;2021-01-28 00:00:00;Kolesnikov D. (Rus);Poletaev I. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 13}, {'home': 9, 'away': 11}];3.0;1.3
Liga Pro (Rusia);1;g_25_6JCsTb5Q;Finalizado;2021-01-28 00:00:00;Nemashkalo V. (Rus);Gerasimov A. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];3.05;1.3
Liga Pro (Rusia);1;g_25_tQnrpZeO;Finalizado;2021-01-28 00:00:00;Karpovkin G. (Rus);Andreev A. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 4}, {'home': 9, 'away': 11}, {'home': 8, 'away': 11}];;
Liga Pro (Rusia);1;g_25_CpeRmHda;Finalizado;2021-01-28 00:00:00;Mishakin V. (Rus);Gerasimov A. (Rus);3;1;[{'home': 10, 'away': 12}, {'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_pbgZoeRB;Finalizado;2021-01-28 00:00:00;Poletaev I. (Rus);Kolesnikov D. (Rus);2;3;[{'home': 11, 'away': 9}, {'home': 12, 'away': 10}, {'home': 10, 'away': 12}, {'home': 10, 'away': 12}, {'home': 12, 'away': 14}];;
Liga Pro (Rusia);1;g_25_pbF41zRb;Finalizado;2021-01-28 00:00:00;Zabrodin A. (Rus);Vologzhanin V. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 10, 'away': 12}];;
Liga Pro (Rusia);1;g_25_jyfVnyC5;Finalizado;2021-01-28 00:00:00;Rachkov V. (Rus);Nemashkalo V. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 9}];;
Liga Pro (Rusia);1;g_25_b1cwoFtI;Finalizado;2021-01-28 00:00:00;Nikiforov O. (Rus);Khomutov S. (Rus);3;2;[{'home': 6, 'away': 11}, {'home': 11, 'away': 7}, {'home': 15, 'away': 17}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_rq0g1kGG;Finalizado;2021-01-28 00:00:00;Potapkov A. (Rus);Afanasev I. (Rus);1;3;[{'home': 11, 'away': 8}, {'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 7, 'away': 11}];2.28;1.52
Liga Pro (Rusia);1;g_25_bDyLtIZP;Finalizado;2021-01-28 00:00:00;Ogay S. (Rus);Petrov D. (Rus);0;3;[{'home': 3, 'away': 11}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}];1.73;1.93
Liga Pro (Rusia);1;g_25_4bl2aTpT;Finalizado;2021-01-28 00:00:00;Grishaev E. (Rus);Vahnin G. (Rus);1;3;[{'home': 4, 'away': 11}, {'home': 11, 'away': 2}, {'home': 10, 'away': 12}, {'home': 8, 'away': 11}];2.73;1.37
Liga Pro (Rusia);1;g_25_Q7kb09VM;Anulado;2021-01-28 00:00:00;Korogodsky I. (Rus);Petrochenko D. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_GrT4JEoi;Finalizado;2021-01-28 00:00:00;Mikheev D. (Rus);Petrochenko D. (Rus);2;3;[{'home': 8, 'away': 11}, {'home': 11, 'away': 3}, {'home': 11, 'away': 7}, {'home': 9, 'away': 11}, {'home': 7, 'away': 11}];1.73;1.93
Liga Pro (Rusia);1;g_25_EXZXg78j;Finalizado;2021-01-28 00:00:00;Fedosov A. (Rus);Putilovsky V. (Rus);3;2;[{'home': 11, 'away': 13}, {'home': 11, 'away': 6}, {'home': 11, 'away': 6}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}];1.67;2.02
Liga Pro (Rusia);1;g_25_zsyUfmgp;Finalizado;2021-01-28 00:00:00;Kurilchik N. (Rus);Slachshilin A. (Rus);3;2;[{'home': 9, 'away': 11}, {'home': 12, 'away': 14}, {'home': 12, 'away': 10}, {'home': 11, 'away': 5}, {'home': 13, 'away': 11}];1.55;2.22
Liga Pro (Rusia);1;g_25_8Sb9OIDs;Anulado;2021-01-28 00:00:00;Afanasev I. (Rus);Korogodsky I. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_p2qo3g1A;Finalizado;2021-01-28 00:00:00;Afanasev I. (Rus);Mikheev D. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 8}, {'home': 11, 'away': 4}];2.08;1.63
Liga Pro (Rusia);1;g_25_4fEmxxrs;Finalizado;2021-01-28 00:00:00;Petrov D. (Rus);Fedosov A. (Rus);2;3;[{'home': 9, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}];1.45;2.47
Liga Pro (Rusia);1;g_25_jilENxTm;Finalizado;2021-01-28 00:00:00;Petrochenko D. (Rus);Potapkov A. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}];1.63;2.08
Liga Pro (Rusia);1;g_25_zujQKzD6;Finalizado;2021-01-28 00:00:00;Vahnin G. (Rus);Kurilchik N. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 7}, {'home': 10, 'away': 12}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}];2.7;1.38
Liga Pro (Rusia);1;g_25_roDiydcm;Finalizado;2021-01-28 00:00:00;Putilovsky V. (Rus);Ogay S. (Rus);3;1;[{'home': 9, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 8}, {'home': 11, 'away': 7}];1.83;1.83
Liga Pro (Rusia);1;g_25_2RiIMdrf;Anulado;2021-01-28 00:00:00;Potapkov A. (Rus);Korogodsky I. (Rus);0;0;[];;
Liga Pro (Rusia);1;g_25_Ohrk2DGG;Finalizado;2021-01-28 00:00:00;Potapkov A. (Rus);Mikheev D. (Rus);3;1;[{'home': 10, 'away': 12}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}];3.15;1.28
Liga Pro (Rusia);1;g_25_xMRfzGCg;Finalizado;2021-01-28 00:00:00;Ogay S. (Rus);Fedosov A. (Rus);1;3;[{'home': 11, 'away': 5}, {'home': 4, 'away': 11}, {'home': 5, 'away': 11}, {'home': 8, 'away': 11}];1.93;1.73
Liga Pro (Rusia);1;g_25_hGpVJfSC;Finalizado;2021-01-28 00:00:00;Slachshilin A. (Rus);Grishaev E. (Rus);3;0;[{'home': 12, 'away': 10}, {'home': 12, 'away': 10}, {'home': 14, 'away': 12}];1.11;5.05
Liga Pro (Rusia);1;g_25_dliMLGc0;Finalizado;2021-01-28 00:00:00;Afanasev I. (Rus);Petrochenko D. (Rus);0;3;[{'home': 10, 'away': 12}, {'home': 9, 'away': 11}, {'home': 9, 'away': 11}];2.58;1.4
Liga Pro (Rusia);1;g_25_GCQbZZRa;Finalizado;2021-01-28 00:00:00;Petrov D. (Rus);Putilovsky V. (Rus);3;0;[{'home': 11, 'away': 5}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];1.5;2.3
Liga Pro (Rusia);1;g_25_pAXGsbKJ;Finalizado;2021-01-28 00:00:00;Vahnin G. (Rus);Slachshilin A. (Rus);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];;
Liga Pro (Rusia);1;g_25_W6qZIEsJ;Finalizado;2021-01-28 00:00:00;Grishaev E. (Rus);Kurilchik N. (Rus);2;3;[{'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}, {'home': 10, 'away': 12}];2.55;1.42
Liga Pro (Rusia);1;g_25_GxEGIjoi;Finalizado;2021-01-28 00:00:00;Kulikov S. (Rus);Gusev M. (Rus);0;3;[{'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 6, 'away': 11}];1.88;1.78
Liga Pro (Rusia);1;g_25_O2HOGUF3;Finalizado;2021-01-28 00:00:00;Soldusov O. (Rus);Poprocky A. (Rus);3;2;[{'home': 10, 'away': 12}, {'home': 3, 'away': 11}, {'home': 11, 'away': 8}, {'home': 12, 'away': 10}, {'home': 12, 'away': 10}];3.4;1.25
Liga Pro (Rusia);1;g_25_UuIKHA0c;Finalizado;2021-01-28 00:00:00;Yakovlev A. (Rus);Selkin V. (Rus);3;0;[{'home': 11, 'away': 8}, {'home': 11, 'away': 3}, {'home': 11, 'away': 6}];2.22;1.55
Liga Pro (Rusia);1;g_25_2gGSFlV9;Finalizado;2021-01-28 00:00:00;Madan E. (Rus);Vshivkov P. (Rus);1;3;[{'home': 8, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}];1.6;2.1
Liga Pro (Rusia);1;g_25_KUAXE8pG;Finalizado;2021-01-28 00:00:00;Golyshev A. (Rus);Lbov Y. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 11, 'away': 5}, {'home': 11, 'away': 9}, {'home': 9, 'away': 11}, {'home': 13, 'away': 11}];1.23;3.5
Liga Pro (Rusia);1;g_25_byG3Ygs6;Finalizado;2021-01-28 00:00:00;Gusev M. (Rus);Yakovlev A. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 11, 'away': 5}, {'home': 5, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 8}];1.8;1.84
Liga Pro (Rusia);1;g_25_M91bfy4P;Finalizado;2021-01-28 00:00:00;Poprocky A. (Rus);Madan E. (Rus);3;1;[{'home': 11, 'away': 9}, {'home': 1, 'away': 11}, {'home': 11, 'away': 7}, {'home': 11, 'away': 5}];1.52;2.28
Liga Pro (Rusia);1;g_25_bL9yESaM;Finalizado;2021-01-28 00:00:00;Novikov I. (Rus);Bardyshev G. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];1.32;2.95
Liga Pro (Rusia);1;g_25_CvK7XDdC;Finalizado;2021-01-28 00:00:00;Selkin V. (Rus);Kulikov S. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 12, 'away': 10}, {'home': 11, 'away': 3}, {'home': 5, 'away': 11}, {'home': 5, 'away': 11}];1.21;3.7
Liga Pro (Rusia);1;g_25_jVvsnDB5;Finalizado;2021-01-28 00:00:00;Bardyshev G. (Rus);Golyshev A. (Rus);0;3;[{'home': 3, 'away': 11}, {'home': 2, 'away': 11}, {'home': 3, 'away': 11}];2.77;1.36
Liga Pro (Rusia);1;g_25_OImQkeCt;Finalizado;2021-01-28 00:00:00;Vshivkov P. (Rus);Soldusov O. (Rus);3;2;[{'home': 11, 'away': 5}, {'home': 4, 'away': 11}, {'home': 11, 'away': 7}, {'home': 2, 'away': 11}, {'home': 11, 'away': 6}];2.73;1.37
Liga Pro (Rusia);1;g_25_Cvtwmgda;Finalizado;2021-01-28 00:00:00;Lbov Y. (Rus);Novikov I. (Rus);0;3;[{'home': 9, 'away': 11}, {'home': 3, 'away': 11}, {'home': 10, 'away': 12}];2.4;1.48
Liga Pro (Rusia);1;g_25_61JBWXBI;Finalizado;2021-01-28 00:00:00;Kulikov S. (Rus);Yakovlev A. (Rus);2;3;[{'home': 9, 'away': 11}, {'home': 11, 'away': 8}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}];1.5;2.3
Liga Pro (Rusia);1;g_25_IumUlFRn;Finalizado;2021-01-28 00:00:00;Soldusov O. (Rus);Madan E. (Rus);2;3;[{'home': 10, 'away': 12}, {'home': 5, 'away': 11}, {'home': 11, 'away': 9}, {'home': 11, 'away': 9}, {'home': 3, 'away': 11}];1.42;2.55
Liga Pro (Rusia);1;g_25_K4qooXQB;Finalizado;2021-01-28 00:00:00;Golyshev A. (Rus);Novikov I. (Rus);3;1;[{'home': 11, 'away': 7}, {'home': 11, 'away': 9}, {'home': 6, 'away': 11}, {'home': 11, 'away': 7}];1.7;1.96
Liga Pro (Rusia);1;g_25_phIFViRO;Finalizado;2021-01-28 00:00:00;Gusev M. (Rus);Selkin V. (Rus);3;1;[{'home': 11, 'away': 5}, {'home': 10, 'away': 12}, {'home': 11, 'away': 7}, {'home': 11, 'away': 7}];2.4;1.48
Liga Pro (Rusia);1;g_25_berkpitI;Finalizado;2021-01-28 00:00:00;Lbov Y. (Rus);Bardyshev G. (Rus);2;3;[{'home': 6, 'away': 11}, {'home': 10, 'away': 12}, {'home': 13, 'away': 11}, {'home': 11, 'away': 7}, {'home': 8, 'away': 11}];1.88;1.78
Liga Pro (Rusia);1;g_25_UFjYmZtg;Finalizado;2021-01-28 00:00:00;Poprocky A. (Rus);Vshivkov P. (Rus);0;3;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 10, 'away': 12}];2.42;1.47
Liga Pro (Rusia);1;g_25_EqGPNDsM;Finalizado;2021-01-28 00:00:00;Kulikov S. (Rus);Selkin V. (Rus);3;0;[{'home': 11, 'away': 7}, {'home': 11, 'away': 4}, {'home': 11, 'away': 3}];;
Liga Pro (Rusia);1;g_25_YTddIi5q;Finalizado;2021-01-28 00:00:00;Poprocky A. (Rus);Madan E. (Rus);1;3;[{'home': 6, 'away': 11}, {'home': 7, 'away': 11}, {'home': 18, 'away': 16}, {'home': 7, 'away': 11}];;
Liga Pro (Rusia);1;g_25_tf04GVZe;Finalizado;2021-01-28 00:00:00;Bardyshev G. (Rus);Lbov Y. (Rus);3;1;[{'home': 12, 'away': 14}, {'home': 11, 'away': 8}, {'home': 11, 'away': 9}, {'home': 11, 'away': 7}];;
Liga Pro (Rusia);1;g_25_SnKTMXdS;Finalizado;2021-01-28 00:00:00;Gusev M. (Rus);Yakovlev A. (Rus);2;3;[{'home': 15, 'away': 13}, {'home': 11, 'away': 6}, {'home': 14, 'away': 16}, {'home': 9, 'away': 11}, {'home': 4, 'away': 11}];;
Liga Pro (Rusia);1;g_25_Kpa8Fkk2;Finalizado;2021-01-28 00:00:00;Golyshev A. (Rus);Novikov I. (Rus);3;0;[{'home': 11, 'away': 9}, {'home': 11, 'away': 5}, {'home': 11, 'away': 6}];;
Liga Pro (Rusia);1;g_25_CKe0HBKk;Finalizado;2021-01-28 00:00:00;Vshivkov P. (Rus);Soldusov O. (Rus);3;2;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 8, 'away': 11}, {'home': 9, 'away': 11}, {'home': 11, 'away': 8}];;
Liga Pro (Rusia);1;g_25_UeU7mzYC;Finalizado;2021-01-28 00:00:00;Kuzmin S. (Rus);Chernov V. (Rus);1;3;[{'home': 11, 'away': 6}, {'home': 3, 'away': 11}, {'home': 11, 'away': 13}, {'home': 10, 'away': 12}];1.4;2.58
Liga Pro (Rusia);1;g_25_EoF686Nq;Finalizado;2021-01-28 00:00:00;Pronin O. (Rus);Migalov I. (Rus);0;3;[{'home': 2, 'away': 11}, {'home': 1, 'away': 11}, {'home': 1, 'away': 11}];3.95;1.19
Liga Pro (Rusia);1;g_25_8ttakd30;Finalizado;2021-01-28 00:00:00;Klavdenkov A. (Rus);Bazilevskii V. (Rus);3;0;[{'home': 11, 'away': 6}, {'home': 11, 'away': 9}, {'home': 11, 'away': 8}];1.47;2.42
Liga Pro (Rusia);1;g_25_hr9uDnFS;Finalizado;2021-01-28 00:00:00;Abanokov Z. (Rus);Zhulyabin V. (Rus);3;2;[{'home': 7, 'away': 11}, {'home': 7, 'away': 11}, {'home': 11, 'away': 7}, {'home': 12, 'away': 10}, {'home': 11, 'away': 5}];1.57;2.17
Liga Pro (Rusia);1;g_25_nXv3lGI6;Finalizado;2021-01-28 00:00:00;Gribkov A. (Rus);Kryuchkov E. (Rus);1;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 5}, {'home': 3, 'away': 11}, {'home': 9, 'away': 11}];2.6;1.4
Liga Pro (Rusia);1;g_25_raYBnfmJ;Finalizado;2021-01-28 00:00:00;Sadkov A. (Rus);Tikhnenko D. (Rus);2;3;[{'home': 7, 'away': 11}, {'home': 11, 'away': 9}, {'home': 8, 'away': 11}, {'home': 13, 'away': 11}, {'home': 8, 'away': 11}];1.67;2.02
Liga Pro (Rusia);1;g_25_tKXgqBeO;Finalizado;2021-01-28 00:00:00;Zhulyabin V. (Rus);Pronin O. (Rus);3;0;[{'home': 11, 'away': 1}, {'home': 11, 'away': 3}, {'home': 11, 'away': 9}];1.35;2.82
Liga Pro (Rusia);1;g_25_l01Y3eIg;Finalizado;2021-01-28 00:00:00;Bazilevskii V. (Rus);Gribkov A. (Rus);3;0;[{'home': 12, 'away': 10}, {'home': 11, 'away': 3}, {'home': 11, 'away': 8}];1.83;1.83
Liga Pro (Rusia);1;g_25_xzDl0DHI;Finalizado;2021-01-28 00:00:00;Chernov V. (Rus);Sadkov A. (Rus);2;3;[{'home': 14, 'away': 12}, {'home': 6, 'away': 11}, {'home': 6, 'away': 11}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}];1.83;1.83
Liga Pro (Rusia);1;g_25_fNybrVAU;Finalizado;2021-01-28 00:00:00;Migalov I. (Rus);Abanokov Z. (Rus);3;2;[{'home': 11, 'away': 9}, {'home': 7, 'away': 11}, {'home': 11, 'away': 6}, {'home': 6, 'away': 11}, {'home': 11, 'away': 9}];1.42;2.55
Liga Pro (Rusia);1;g_25_noKy3FXa;Finalizado;2021-01-28 00:00:00;Kryuchkov E. (Rus);Klavdenkov A. (Rus);0;3;[{'home': 6, 'away': 11}, {'home': 4, 'away': 11}, {'home': 12, 'away': 14}];3.3;1.26
Liga Pro (Rusia);1;g_25_EazIrono;Finalizado;2021-01-28 00:00:00;Tikhnenko D. (Rus);Kuzmin S. (Rus);3;2;[{'home': 13, 'away': 11}, {'home': 11, 'away': 5}, {'home': 4, 'away': 11}, {'home': 8, 'away': 11}, {'home': 11, 'away': 9}];1.84;1.8
Liga Pro (Rusia);1;g_25_WrD33Ett;Finalizado;2021-01-28 00:00:00;Abanokov Z. (Rus);Pronin O. (Rus);3;1;[{'home': 11, 'away': 8}, {'home': 11, 'away': 8}, {'home': 9, 'away': 11}, {'home': 11, 'away': 5}];1.88;1.78
